arm,label,seed,gpu,repeat,candidate_index,production_release_ell_s
la,LA,1884470933,3,0,8,28.0
la,LA,1884470933,3,0,9,32.0
la,LA,1884470933,3,0,10,100.0
la,LA,1884470933,3,0,11,172.0
la,LA,1884470933,3,0,12,288.0
la,LA,1884470933,3,0,13,336.0
la,LA,1884470933,3,0,14,328.0
la,LA,1884470933,3,0,15,348.0
la,LA,1884470933,3,1,0,356.0
la,LA,1884470933,3,1,1,312.0
la,LA,1884470933,3,1,2,320.0
la,LA,1884470933,3,1,3,272.0
la,LA,1884470933,3,1,4,140.0
la,LA,1884470933,3,1,5,32.0
la,LA,1884470933,3,1,6,32.0
la,LA,1884470933,3,1,7,32.0
la,LA,1884470933,3,1,8,28.0
la,LA,1884470933,3,1,9,32.0
la,LA,1884470933,3,1,10,100.0
la,LA,1884470933,3,1,11,172.0
la,LA,1884470933,3,1,12,288.0
la,LA,1884470933,3,1,13,336.0
la,LA,1884470933,3,1,14,328.0
la,LA,1884470933,3,1,15,348.0
la,LA,1884470933,3,2,0,356.0
la,LA,1884470933,3,2,1,312.0
la,LA,1884470933,3,2,2,320.0
la,LA,1884470933,3,2,3,272.0
la,LA,1884470933,3,2,4,140.0
la,LA,1884470933,3,2,5,32.0
la,LA,1884470933,3,2,6,32.0
la,LA,1884470933,3,2,7,32.0
la,LA,1884470933,3,2,8,28.0
la,LA,1884470933,3,2,9,32.0
la,LA,1884470933,3,2,10,100.0
la,LA,1884470933,3,2,11,172.0
la,LA,1884470933,3,2,12,288.0
la,LA,1884470933,3,2,13,336.0
la,LA,1884470933,3,2,14,328.0
la,LA,1884470933,3,2,15,348.0
la,LA,55048408,0,0,0,356.0
la,LA,55048408,0,0,1,312.0
la,LA,55048408,0,0,2,320.0
la,LA,55048408,0,0,3,272.0
la,LA,55048408,0,0,4,140.0
la,LA,55048408,0,0,5,32.0
la,LA,55048408,0,0,6,32.0
la,LA,55048408,0,0,7,32.0
la,LA,55048408,0,0,8,28.0
la,LA,55048408,0,0,9,32.0
la,LA,55048408,0,0,10,100.0
la,LA,55048408,0,0,11,172.0
la,LA,55048408,0,0,12,288.0
la,LA,55048408,0,0,13,336.0
la,LA,55048408,0,0,14,328.0
la,LA,55048408,0,0,15,348.0
la,LA,55048408,0,1,0,356.0
la,LA,55048408,0,1,1,312.0
la,LA,55048408,0,1,2,320.0
la,LA,55048408,0,1,3,272.0
la,LA,55048408,0,1,4,140.0
la,LA,55048408,0,1,5,32.0
la,LA,55048408,0,1,6,32.0
la,LA,55048408,0,1,7,32.0
la,LA,55048408,0,1,8,28.0
la,LA,55048408,0,1,9,32.0
la,LA,55048408,0,1,10,100.0
la,LA,55048408,0,1,11,172.0
la,LA,55048408,0,1,12,288.0
la,LA,55048408,0,1,13,336.0
la,LA,55048408,0,1,14,328.0
la,LA,55048408,0,1,15,348.0
la,LA,55048408,0,2,0,356.0
la,LA,55048408,0,2,1,312.0
la,LA,55048408,0,2,2,320.0
la,LA,55048408,0,2,3,272.0
la,LA,55048408,0,2,4,140.0
la,LA,55048408,0,2,5,32.0
la,LA,55048408,0,2,6,32.0
la,LA,55048408,0,2,7,32.0
la,LA,55048408,0,2,8,28.0
la,LA,55048408,0,2,9,32.0
la,LA,55048408,0,2,10,100.0
la,LA,55048408,0,2,11,172.0
la,LA,55048408,0,2,12,288.0
la,LA,55048408,0,2,13,336.0
la,LA,55048408,0,2,14,328.0
la,LA,55048408,0,2,15,348.0
la,LA,55048408,1,0,0,356.0
la,LA,55048408,1,0,1,312.0
la,LA,55048408,1,0,2,320.0
la,LA,55048408,1,0,3,272.0
la,LA,55048408,1,0,4,140.0
la,LA,55048408,1,0,5,32.0
la,LA,55048408,1,0,6,32.0
la,LA,55048408,1,0,7,32.0
la,LA,55048408,1,0,8,28.0
la,LA,55048408,1,0,9,32.0
la,LA,55048408,1,0,10,100.0
la,LA,55048408,1,0,11,172.0
la,LA,55048408,1,0,12,288.0
la,LA,55048408,1,0,13,336.0
la,LA,55048408,1,0,14,328.0
la,LA,55048408,1,0,15,348.0
la,LA,55048408,1,1,0,356.0
la,LA,55048408,1,1,1,312.0
la,LA,55048408,1,1,2,320.0
la,LA,55048408,1,1,3,272.0
la,LA,55048408,1,1,4,140.0
la,LA,55048408,1,1,5,32.0
la,LA,55048408,1,1,6,32.0
la,LA,55048408,1,1,7,32.0
la,LA,55048408,1,1,8,28.0
la,LA,55048408,1,1,9,32.0
la,LA,55048408,1,1,10,100.0
la,LA,55048408,1,1,11,172.0
la,LA,55048408,1,1,12,288.0
la,LA,55048408,1,1,13,336.0
la,LA,55048408,1,1,14,328.0
la,LA,55048408,1,1,15,348.0
la,LA,55048408,1,2,0,356.0
la,LA,55048408,1,2,1,312.0
la,LA,55048408,1,2,2,320.0
la,LA,55048408,1,2,3,272.0
la,LA,55048408,1,2,4,140.0
la,LA,55048408,1,2,5,32.0
la,LA,55048408,1,2,6,32.0
la,LA,55048408,1,2,7,32.0
la,LA,55048408,1,2,8,28.0
la,LA,55048408,1,2,9,32.0
la,LA,55048408,1,2,10,100.0
la,LA,55048408,1,2,11,172.0
la,LA,55048408,1,2,12,288.0
la,LA,55048408,1,2,13,336.0
la,LA,55048408,1,2,14,328.0
la,LA,55048408,1,2,15,348.0
la,LA,55048408,2,0,0,356.0
la,LA,55048408,2,0,1,312.0
la,LA,55048408,2,0,2,320.0
la,LA,55048408,2,0,3,272.0
la,LA,55048408,2,0,4,140.0
la,LA,55048408,2,0,5,32.0
la,LA,55048408,2,0,6,32.0
la,LA,55048408,2,0,7,32.0
la,LA,55048408,2,0,8,28.0
la,LA,55048408,2,0,9,32.0
la,LA,55048408,2,0,10,100.0
la,LA,55048408,2,0,11,172.0
la,LA,55048408,2,0,12,288.0
la,LA,55048408,2,0,13,336.0
la,LA,55048408,2,0,14,328.0
la,LA,55048408,2,0,15,348.0
la,LA,55048408,2,1,0,356.0
la,LA,55048408,2,1,1,312.0
la,LA,55048408,2,1,2,320.0
la,LA,55048408,2,1,3,272.0
la,LA,55048408,2,1,4,140.0
la,LA,55048408,2,1,5,32.0
la,LA,55048408,2,1,6,32.0
la,LA,55048408,2,1,7,32.0
la,LA,55048408,2,1,8,28.0
la,LA,55048408,2,1,9,32.0
la,LA,55048408,2,1,10,100.0
la,LA,55048408,2,1,11,172.0
la,LA,55048408,2,1,12,288.0
la,LA,55048408,2,1,13,336.0
la,LA,55048408,2,1,14,328.0
la,LA,55048408,2,1,15,348.0
la,LA,55048408,2,2,0,356.0
la,LA,55048408,2,2,1,312.0
la,LA,55048408,2,2,2,320.0
la,LA,55048408,2,2,3,272.0
la,LA,55048408,2,2,4,140.0
la,LA,55048408,2,2,5,32.0
la,LA,55048408,2,2,6,32.0
la,LA,55048408,2,2,7,32.0
la,LA,55048408,2,2,8,28.0
la,LA,55048408,2,2,9,32.0
la,LA,55048408,2,2,10,100.0
la,LA,55048408,2,2,11,172.0
la,LA,55048408,2,2,12,288.0
la,LA,55048408,2,2,13,336.0
la,LA,55048408,2,2,14,328.0
la,LA,55048408,2,2,15,348.0
la,LA,55048408,3,0,0,356.0
la,LA,55048408,3,0,1,312.0
la,LA,55048408,3,0,2,320.0
la,LA,55048408,3,0,3,272.0
la,LA,55048408,3,0,4,140.0
la,LA,55048408,3,0,5,32.0
la,LA,55048408,3,0,6,32.0
la,LA,55048408,3,0,7,32.0
la,LA,55048408,3,0,8,28.0
la,LA,55048408,3,0,9,32.0
la,LA,55048408,3,0,10,100.0
la,LA,55048408,3,0,11,172.0
la,LA,55048408,3,0,12,288.0
la,LA,55048408,3,0,13,336.0
la,LA,55048408,3,0,14,328.0
la,LA,55048408,3,0,15,348.0
la,LA,55048408,3,1,0,356.0
la,LA,55048408,3,1,1,312.0
la,LA,55048408,3,1,2,320.0
la,LA,55048408,3,1,3,272.0
la,LA,55048408,3,1,4,140.0
la,LA,55048408,3,1,5,32.0
la,LA,55048408,3,1,6,32.0
la,LA,55048408,3,1,7,32.0
la,LA,55048408,3,1,8,28.0
la,LA,55048408,3,1,9,32.0
la,LA,55048408,3,1,10,100.0
la,LA,55048408,3,1,11,172.0
la,LA,55048408,3,1,12,288.0
la,LA,55048408,3,1,13,336.0
la,LA,55048408,3,1,14,328.0
la,LA,55048408,3,1,15,348.0
la,LA,55048408,3,2,0,356.0
la,LA,55048408,3,2,1,312.0
la,LA,55048408,3,2,2,320.0
la,LA,55048408,3,2,3,272.0
la,LA,55048408,3,2,4,140.0
la,LA,55048408,3,2,5,32.0
la,LA,55048408,3,2,6,32.0
la,LA,55048408,3,2,7,32.0
la,LA,55048408,3,2,8,28.0
la,LA,55048408,3,2,9,32.0
la,LA,55048408,3,2,10,100.0
la,LA,55048408,3,2,11,172.0
la,LA,55048408,3,2,12,288.0
la,LA,55048408,3,2,13,336.0
la,LA,55048408,3,2,14,328.0
la,LA,55048408,3,2,15,348.0
la,LA,979986572,0,0,0,356.0
la,LA,979986572,0,0,1,312.0
la,LA,979986572,0,0,2,320.0
la,LA,979986572,0,0,3,272.0
la,LA,979986572,0,0,4,140.0
la,LA,979986572,0,0,5,32.0
la,LA,979986572,0,0,6,32.0
la,LA,979986572,0,0,7,32.0
la,LA,979986572,0,0,8,28.0
la,LA,979986572,0,0,9,32.0
la,LA,979986572,0,0,10,100.0
la,LA,979986572,0,0,11,172.0
la,LA,979986572,0,0,12,288.0
la,LA,979986572,0,0,13,336.0
la,LA,979986572,0,0,14,328.0
la,LA,979986572,0,0,15,348.0
la,LA,979986572,0,1,0,356.0
la,LA,979986572,0,1,1,312.0
la,LA,979986572,0,1,2,320.0
la,LA,979986572,0,1,3,272.0
la,LA,979986572,0,1,4,140.0
la,LA,979986572,0,1,5,32.0
la,LA,979986572,0,1,6,32.0
la,LA,979986572,0,1,7,32.0
la,LA,979986572,0,1,8,28.0
la,LA,979986572,0,1,9,32.0
la,LA,979986572,0,1,10,100.0
la,LA,979986572,0,1,11,172.0
la,LA,979986572,0,1,12,288.0
la,LA,979986572,0,1,13,336.0
la,LA,979986572,0,1,14,328.0
la,LA,979986572,0,1,15,348.0
la,LA,979986572,0,2,0,356.0
la,LA,979986572,0,2,1,312.0
la,LA,979986572,0,2,2,320.0
la,LA,979986572,0,2,3,272.0
la,LA,979986572,0,2,4,140.0
la,LA,979986572,0,2,5,32.0
la,LA,979986572,0,2,6,32.0
la,LA,979986572,0,2,7,32.0
la,LA,979986572,0,2,8,28.0
la,LA,979986572,0,2,9,32.0
la,LA,979986572,0,2,10,100.0
la,LA,979986572,0,2,11,172.0
la,LA,979986572,0,2,12,288.0
la,LA,979986572,0,2,13,336.0
la,LA,979986572,0,2,14,328.0
la,LA,979986572,0,2,15,348.0
la,LA,979986572,1,0,0,356.0
la,LA,979986572,1,0,1,312.0
la,LA,979986572,1,0,2,320.0
la,LA,979986572,1,0,3,272.0
la,LA,979986572,1,0,4,140.0
la,LA,979986572,1,0,5,32.0
la,LA,979986572,1,0,6,32.0
la,LA,979986572,1,0,7,32.0
la,LA,979986572,1,0,8,28.0
la,LA,979986572,1,0,9,32.0
la,LA,979986572,1,0,10,100.0
la,LA,979986572,1,0,11,172.0
la,LA,979986572,1,0,12,288.0
la,LA,979986572,1,0,13,336.0
la,LA,979986572,1,0,14,328.0
la,LA,979986572,1,0,15,348.0
la,LA,979986572,1,1,0,356.0
la,LA,979986572,1,1,1,312.0
la,LA,979986572,1,1,2,320.0
la,LA,979986572,1,1,3,272.0
la,LA,979986572,1,1,4,140.0
la,LA,979986572,1,1,5,32.0
la,LA,979986572,1,1,6,32.0
la,LA,979986572,1,1,7,32.0
la,LA,979986572,1,1,8,28.0
la,LA,979986572,1,1,9,32.0
la,LA,979986572,1,1,10,100.0
la,LA,979986572,1,1,11,172.0
la,LA,979986572,1,1,12,288.0
la,LA,979986572,1,1,13,336.0
la,LA,979986572,1,1,14,328.0
la,LA,979986572,1,1,15,348.0
la,LA,979986572,1,2,0,356.0
la,LA,979986572,1,2,1,312.0
la,LA,979986572,1,2,2,320.0
la,LA,979986572,1,2,3,272.0
la,LA,979986572,1,2,4,140.0
la,LA,979986572,1,2,5,32.0
la,LA,979986572,1,2,6,32.0
la,LA,979986572,1,2,7,32.0
la,LA,979986572,1,2,8,28.0
la,LA,979986572,1,2,9,32.0
la,LA,979986572,1,2,10,100.0
la,LA,979986572,1,2,11,172.0
la,LA,979986572,1,2,12,288.0
la,LA,979986572,1,2,13,336.0
la,LA,979986572,1,2,14,328.0
la,LA,979986572,1,2,15,348.0
la,LA,979986572,2,0,0,356.0
la,LA,979986572,2,0,1,312.0
la,LA,979986572,2,0,2,320.0
la,LA,979986572,2,0,3,272.0
la,LA,979986572,2,0,4,140.0
la,LA,979986572,2,0,5,32.0
la,LA,979986572,2,0,6,32.0
la,LA,979986572,2,0,7,32.0
la,LA,979986572,2,0,8,28.0
la,LA,979986572,2,0,9,32.0
la,LA,979986572,2,0,10,100.0
la,LA,979986572,2,0,11,172.0
la,LA,979986572,2,0,12,288.0
la,LA,979986572,2,0,13,336.0
la,LA,979986572,2,0,14,328.0
la,LA,979986572,2,0,15,348.0
la,LA,979986572,2,1,0,356.0
la,LA,979986572,2,1,1,312.0
la,LA,979986572,2,1,2,320.0
la,LA,979986572,2,1,3,272.0
la,LA,979986572,2,1,4,140.0
la,LA,979986572,2,1,5,32.0
la,LA,979986572,2,1,6,32.0
la,LA,979986572,2,1,7,32.0
la,LA,979986572,2,1,8,28.0
la,LA,979986572,2,1,9,32.0
la,LA,979986572,2,1,10,100.0
la,LA,979986572,2,1,11,172.0
la,LA,979986572,2,1,12,288.0
la,LA,979986572,2,1,13,336.0
la,LA,979986572,2,1,14,328.0
la,LA,979986572,2,1,15,348.0
la,LA,979986572,2,2,0,356.0
la,LA,979986572,2,2,1,312.0
la,LA,979986572,2,2,2,320.0
la,LA,979986572,2,2,3,272.0
la,LA,979986572,2,2,4,140.0
la,LA,979986572,2,2,5,32.0
la,LA,979986572,2,2,6,32.0
la,LA,979986572,2,2,7,32.0
la,LA,979986572,2,2,8,28.0
la,LA,979986572,2,2,9,32.0
la,LA,979986572,2,2,10,100.0
la,LA,979986572,2,2,11,172.0
la,LA,979986572,2,2,12,288.0
la,LA,979986572,2,2,13,336.0
la,LA,979986572,2,2,14,328.0
la,LA,979986572,2,2,15,348.0
la,LA,979986572,3,0,0,356.0
la,LA,979986572,3,0,1,312.0
la,LA,979986572,3,0,2,320.0
la,LA,979986572,3,0,3,272.0
la,LA,979986572,3,0,4,140.0
la,LA,979986572,3,0,5,32.0
la,LA,979986572,3,0,6,32.0
la,LA,979986572,3,0,7,32.0
la,LA,979986572,3,0,8,28.0
la,LA,979986572,3,0,9,32.0
la,LA,979986572,3,0,10,100.0
la,LA,979986572,3,0,11,172.0
la,LA,979986572,3,0,12,288.0
la,LA,979986572,3,0,13,336.0
la,LA,979986572,3,0,14,328.0
la,LA,979986572,3,0,15,348.0
la,LA,979986572,3,1,0,356.0
la,LA,979986572,3,1,1,312.0
la,LA,979986572,3,1,2,320.0
la,LA,979986572,3,1,3,272.0
la,LA,979986572,3,1,4,140.0
la,LA,979986572,3,1,5,32.0
la,LA,979986572,3,1,6,32.0
la,LA,979986572,3,1,7,32.0
la,LA,979986572,3,1,8,28.0
la,LA,979986572,3,1,9,32.0
la,LA,979986572,3,1,10,100.0
la,LA,979986572,3,1,11,172.0
la,LA,979986572,3,1,12,288.0
la,LA,979986572,3,1,13,336.0
la,LA,979986572,3,1,14,328.0
la,LA,979986572,3,1,15,348.0
la,LA,979986572,3,2,0,356.0
la,LA,979986572,3,2,1,312.0
la,LA,979986572,3,2,2,320.0
la,LA,979986572,3,2,3,272.0
la,LA,979986572,3,2,4,140.0
la,LA,979986572,3,2,5,32.0
la,LA,979986572,3,2,6,32.0
la,LA,979986572,3,2,7,32.0
la,LA,979986572,3,2,8,28.0
la,LA,979986572,3,2,9,32.0
la,LA,979986572,3,2,10,100.0
la,LA,979986572,3,2,11,172.0
la,LA,979986572,3,2,12,288.0
la,LA,979986572,3,2,13,336.0
la,LA,979986572,3,2,14,328.0
la,LA,979986572,3,2,15,348.0
ca,CA,1884470933,0,0,0,356.0
ca,CA,1884470933,0,0,1,312.0
ca,CA,1884470933,0,0,2,320.0
ca,CA,1884470933,0,0,3,272.0
ca,CA,1884470933,0,0,4,140.0
ca,CA,1884470933,0,0,5,32.0
ca,CA,1884470933,0,0,6,32.0
ca,CA,1884470933,0,0,7,32.0
ca,CA,1884470933,0,0,8,28.0
ca,CA,1884470933,0,0,9,32.0
ca,CA,1884470933,0,0,10,100.0
ca,CA,1884470933,0,0,11,172.0
ca,CA,1884470933,0,0,12,288.0
ca,CA,1884470933,0,0,13,336.0
ca,CA,1884470933,0,0,14,328.0
ca,CA,1884470933,0,0,15,348.0
ca,CA,1884470933,0,1,0,356.0
ca,CA,1884470933,0,1,1,312.0
ca,CA,1884470933,0,1,2,320.0
ca,CA,1884470933,0,1,3,272.0
ca,CA,1884470933,0,1,4,140.0
ca,CA,1884470933,0,1,5,32.0
ca,CA,1884470933,0,1,6,32.0
ca,CA,1884470933,0,1,7,32.0
ca,CA,1884470933,0,1,8,28.0
ca,CA,1884470933,0,1,9,32.0
ca,CA,1884470933,0,1,10,100.0
ca,CA,1884470933,0,1,11,172.0
ca,CA,1884470933,0,1,12,288.0
ca,CA,1884470933,0,1,13,336.0
ca,CA,1884470933,0,1,14,328.0
ca,CA,1884470933,0,1,15,348.0
ca,CA,1884470933,0,2,0,356.0
ca,CA,1884470933,0,2,1,312.0
ca,CA,1884470933,0,2,2,320.0
ca,CA,1884470933,0,2,3,272.0
ca,CA,1884470933,0,2,4,140.0
ca,CA,1884470933,0,2,5,32.0
ca,CA,1884470933,0,2,6,32.0
ca,CA,1884470933,0,2,7,32.0
ca,CA,1884470933,0,2,8,28.0
ca,CA,1884470933,0,2,9,32.0
ca,CA,1884470933,0,2,10,100.0
ca,CA,1884470933,0,2,11,172.0
ca,CA,1884470933,0,2,12,288.0
ca,CA,1884470933,0,2,13,336.0
ca,CA,1884470933,0,2,14,328.0
ca,CA,1884470933,0,2,15,348.0
ca,CA,1884470933,1,0,0,356.0
ca,CA,1884470933,1,0,1,312.0
ca,CA,1884470933,1,0,2,320.0
ca,CA,1884470933,1,0,3,272.0
ca,CA,1884470933,1,0,4,140.0
ca,CA,1884470933,1,0,5,32.0
ca,CA,1884470933,1,0,6,32.0
ca,CA,1884470933,1,0,7,32.0
ca,CA,1884470933,1,0,8,28.0
ca,CA,1884470933,1,0,9,32.0
ca,CA,1884470933,1,0,10,100.0
ca,CA,1884470933,1,0,11,172.0
ca,CA,1884470933,1,0,12,288.0
ca,CA,1884470933,1,0,13,336.0
ca,CA,1884470933,1,0,14,328.0
ca,CA,1884470933,1,0,15,348.0
ca,CA,1884470933,1,1,0,356.0
ca,CA,1884470933,1,1,1,312.0
ca,CA,1884470933,1,1,2,320.0
ca,CA,1884470933,1,1,3,272.0
ca,CA,1884470933,1,1,4,140.0
ca,CA,1884470933,1,1,5,32.0
ca,CA,1884470933,1,1,6,32.0
ca,CA,1884470933,1,1,7,32.0
ca,CA,1884470933,1,1,8,28.0
ca,CA,1884470933,1,1,9,32.0
ca,CA,1884470933,1,1,10,100.0
ca,CA,1884470933,1,1,11,172.0
ca,CA,1884470933,1,1,12,288.0
ca,CA,1884470933,1,1,13,336.0
ca,CA,1884470933,1,1,14,328.0
ca,CA,1884470933,1,1,15,348.0
ca,CA,1884470933,1,2,0,356.0
ca,CA,1884470933,1,2,1,312.0
ca,CA,1884470933,1,2,2,320.0
ca,CA,1884470933,1,2,3,272.0
ca,CA,1884470933,1,2,4,140.0
ca,CA,1884470933,1,2,5,32.0
ca,CA,1884470933,1,2,6,32.0
ca,CA,1884470933,1,2,7,32.0
ca,CA,1884470933,1,2,8,28.0
ca,CA,1884470933,1,2,9,32.0
ca,CA,1884470933,1,2,10,100.0
ca,CA,1884470933,1,2,11,172.0
ca,CA,1884470933,1,2,12,288.0
ca,CA,1884470933,1,2,13,336.0
ca,CA,1884470933,1,2,14,328.0
ca,CA,1884470933,1,2,15,348.0
ca,CA,1884470933,2,0,0,356.0
ca,CA,1884470933,2,0,1,312.0
ca,CA,1884470933,2,0,2,320.0
ca,CA,1884470933,2,0,3,272.0
ca,CA,1884470933,2,0,4,140.0
ca,CA,1884470933,2,0,5,32.0
ca,CA,1884470933,2,0,6,32.0
ca,CA,1884470933,2,0,7,32.0
ca,CA,1884470933,2,0,8,28.0
ca,CA,1884470933,2,0,9,32.0
ca,CA,1884470933,2,0,10,100.0
ca,CA,1884470933,2,0,11,172.0
ca,CA,1884470933,2,0,12,288.0
ca,CA,1884470933,2,0,13,336.0
ca,CA,1884470933,2,0,14,328.0
ca,CA,1884470933,2,0,15,348.0
ca,CA,1884470933,2,1,0,356.0
ca,CA,1884470933,2,1,1,312.0
ca,CA,1884470933,2,1,2,320.0
ca,CA,1884470933,2,1,3,272.0
ca,CA,1884470933,2,1,4,140.0
ca,CA,1884470933,2,1,5,32.0
ca,CA,1884470933,2,1,6,32.0
ca,CA,1884470933,2,1,7,32.0
ca,CA,1884470933,2,1,8,28.0
ca,CA,1884470933,2,1,9,32.0
ca,CA,1884470933,2,1,10,100.0
ca,CA,1884470933,2,1,11,172.0
ca,CA,1884470933,2,1,12,288.0
ca,CA,1884470933,2,1,13,336.0
ca,CA,1884470933,2,1,14,328.0
ca,CA,1884470933,2,1,15,348.0
ca,CA,1884470933,2,2,0,356.0
ca,CA,1884470933,2,2,1,312.0
ca,CA,1884470933,2,2,2,320.0
ca,CA,1884470933,2,2,3,272.0
ca,CA,1884470933,2,2,4,140.0
